record_id,cohort_quarter,location_id,education_level,field_of_study,target_occupation_id,skills,is_synthetic
DEMO-0042,2025-Q3,chicago,Bachelor's (completed),Computer Science,software_engineer,Communication;Docker;Git;Java;JavaScript;Kafka;Problem Solving;SQL;Testing / QA Automation,yes
DEMO-0043,2026-Q1,austin,Bachelor's (completed),Business / Finance,devops_engineer,AWS;Azure;CI/CD;Communication;Cybersecurity;Docker;GCP;Git;Kubernetes;Linux;Networking;Problem Solving;Project Management;Python,yes
DEMO-0044,2025-Q4,new_york,Master's (in progress),Engineering,qa_engineer,A/B Testing;CI/CD;Docker;Financial Modeling;Git;Java;Python;R,yes
DEMO-0045,2025-Q4,washington_dc,Bachelor's (in progress),Computer Science,web_developer,AWS;Agile / Scrum;CI/CD;Communication;HTML/CSS;JavaScript;Problem Solving;REST APIs;React;Testing / QA Automation,yes
DEMO-0046,2025-Q4,dallas,Doctorate,Data Science / Analytics,software_engineer,Agile / Scrum;C++;Communication;Docker;Git;JavaScript;Kubernetes;Linux;Python;Tableau,yes
DEMO-0047,2025-Q3,boston,Master's (completed),Information Systems,data_analyst,Business Acumen;Communication;Data Modeling;Data Visualization;ETL / Data Pipelines;JavaScript;Power BI;Problem Solving;SQL;Stakeholder Management,yes
DEMO-0048,2025-Q3,dallas,Master's (in progress),Data Science / Analytics,project_manager,Agile / Scrum;Airflow;Communication;Excel;Machine Learning;Problem Solving;System Design,yes
DEMO-0049,2026-Q1,seattle,Bachelor's (in progress),Computer Science,software_engineer,CI/CD;Communication;Docker;Git;Java;Linux;Problem Solving;Python;REST APIs;SQL;Testing / QA Automation,yes
DEMO-0050,2026-Q1,new_york,Master's (in progress),Data Science / Analytics,ml_engineer,AWS;Deep Learning;Docker;Java;Linux;MLOps;NLP;Python;REST APIs;Statistics;System Design,yes
DEMO-0051,2025-Q2,washington_dc,Master's (in progress),Data Science / Analytics,systems_analyst,Airflow;Business Acumen;Communication;NLP;Problem Solving;REST APIs;System Design,yes
DEMO-0052,2025-Q4,san_francisco,Bachelor's (completed),Data Science / Analytics,data_analyst,AWS;Data Modeling;Data Visualization;Excel;GCP;Power BI;SQL;Statistics,yes
DEMO-0053,2025-Q1,chicago,Master's (in progress),Computer Science,database_admin,AWS;Airflow;Azure;Communication;Data Modeling;Linux;NoSQL Databases;Risk & Compliance;SQL,yes
DEMO-0054,2025-Q1,chicago,Bachelor's (in progress),Engineering,software_engineer,Agile / Scrum;CI/CD;Docker;Financial Modeling;Git;Java;JavaScript;Linux;Problem Solving;Python;REST APIs;System Design,yes
DEMO-0055,2025-Q2,austin,Master's (completed),Computer Science,software_engineer,Agile / Scrum;Communication;Data Modeling;JavaScript;Linux;NoSQL Databases;Problem Solving;REST APIs;Spark;Testing / QA Automation,yes
DEMO-0056,2026-Q2,chicago,Bachelor's (completed),Information Systems,data_scientist,A/B Testing;C++;Communication;Data Visualization;Deep Learning;Excel;Git;Machine Learning;Problem Solving;Python;R;SQL;Statistics,yes
DEMO-0057,2026-Q1,new_york,Bachelor's (completed),Data Science / Analytics,data_engineer,AWS;Communication;ETL / Data Pipelines;Java;Kafka;Linux;SQL;Terraform,yes
DEMO-0058,2025-Q1,chicago,Bachelor's (in progress),Computer Science,web_developer,Communication;Git;HTML/CSS;Power BI;Problem Solving;Project Management;SQL,yes
DEMO-0059,2026-Q2,dallas,Master's (in progress),Computer Science,data_scientist,A/B Testing;Azure;C++;Communication;Data Visualization;Deep Learning;Git;JavaScript;Machine Learning;Problem Solving;Python;R;SQL;Spark;Statistics,yes
DEMO-0060,2026-Q2,austin,Master's (in progress),Engineering,financial_analyst,Business Acumen;Communication;Excel;Financial Modeling;SQL;Stakeholder Management;System Design;Tableau;Terraform,yes
DEMO-0061,2025-Q4,chicago,Bachelor's (completed),Engineering,data_engineer,AWS;Airflow;Azure;Data Modeling;Docker;ETL / Data Pipelines;Git;Java;Linux;Python;SQL;Spark;Terraform,yes
DEMO-0062,2026-Q1,washington_dc,Master's (in progress),Computer Science,security_analyst,Azure;Communication;Cybersecurity;Deep Learning;Kubernetes;Networking;Problem Solving;React;Risk & Compliance;SQL;Tableau,yes
DEMO-0063,2025-Q3,washington_dc,Master's (in progress),Data Science / Analytics,ml_engineer,Docker;Kafka;Linux;MLOps;NLP;Networking;SQL;System Design,yes
DEMO-0064,2025-Q3,washington_dc,Master's (in progress),Data Science / Analytics,software_engineer,AWS;Communication;Cybersecurity;Git;Java;Problem Solving;Python;REST APIs;SQL;System Design;Testing / QA Automation,yes
DEMO-0065,2026-Q1,washington_dc,Bachelor's (in progress),Data Science / Analytics,data_scientist,AWS;Business Acumen;Communication;Data Visualization;Git;Machine Learning;NLP;Problem Solving;Python;SQL;Statistics;System Design,yes
DEMO-0066,2025-Q4,san_francisco,Bachelor's (completed),Computer Science,project_manager,AWS;Agile / Scrum;Communication;Excel;Problem Solving;Project Management;Risk & Compliance;Stakeholder Management,yes
DEMO-0067,2025-Q4,washington_dc,Master's (in progress),Other,qa_engineer,Communication;Docker;Java;JavaScript;REST APIs;SQL;Testing / QA Automation,yes
DEMO-0068,2025-Q4,san_francisco,Bachelor's (in progress),Information Systems,data_scientist,A/B Testing;Business Acumen;Communication;GCP;Git;Kubernetes;Machine Learning;Problem Solving;Python;Statistics,yes
DEMO-0069,2026-Q2,washington_dc,Bachelor's (in progress),Information Systems,ml_engineer,AWS;CI/CD;Data Modeling;Deep Learning;Docker;Kubernetes;Linux;MLOps;Machine Learning;Project Management;Python;SQL;Statistics;Tableau,yes
DEMO-0070,2026-Q1,san_francisco,Master's (in progress),Data Science / Analytics,data_analyst,AWS;Business Acumen;CI/CD;Communication;Data Visualization;R;SQL;Statistics;Tableau,yes
DEMO-0071,2025-Q4,chicago,Master's (in progress),Business / Finance,data_scientist,A/B Testing;Communication;Git;Kafka;Python;R;SQL;Spark;Statistics;System Design;Testing / QA Automation,yes
DEMO-0072,2026-Q2,chicago,Bachelor's (completed),Computer Science,data_engineer,Airflow;Azure;CI/CD;Data Modeling;Kafka;Machine Learning;NoSQL Databases;Python;React;Spark;Terraform,yes
DEMO-0073,2025-Q4,seattle,Master's (in progress),Computer Science,software_engineer,Business Acumen;CI/CD;Deep Learning;Docker;Financial Modeling;Git;Java;Linux;Python;REST APIs;System Design,yes
DEMO-0074,2025-Q3,atlanta,Master's (in progress),Information Systems,ml_engineer,CI/CD;MLOps;Machine Learning;Problem Solving;Python;System Design,yes
DEMO-0075,2025-Q3,chicago,Master's (in progress),Computer Science,data_scientist,A/B Testing;C++;Communication;Data Visualization;Machine Learning;NLP;Problem Solving;Project Management;R;REST APIs;Spark;Statistics,yes
DEMO-0076,2025-Q2,washington_dc,Master's (in progress),Mathematics / Statistics,data_analyst,Business Acumen;Communication;Data Modeling;Data Visualization;Excel;Power BI;SQL;Tableau,yes
DEMO-0077,2025-Q2,chicago,Master's (in progress),Data Science / Analytics,data_scientist,A/B Testing;Data Visualization;Git;Kubernetes;Problem Solving;Python;REST APIs;Statistics,yes
DEMO-0078,2025-Q4,san_francisco,Master's (completed),Data Science / Analytics,web_developer,AWS;Agile / Scrum;Communication;Git;HTML/CSS;JavaScript;REST APIs;React;Testing / QA Automation,yes
DEMO-0079,2025-Q2,chicago,Master's (in progress),Data Science / Analytics,security_analyst,AWS;Cybersecurity;JavaScript;Kubernetes;Problem Solving;Risk & Compliance;Tableau,yes
DEMO-0080,2026-Q2,dallas,Master's (in progress),Computer Science,database_admin,AWS;Agile / Scrum;Azure;Communication;Cybersecurity;Data Modeling;Excel;Linux;Risk & Compliance;SQL;Tableau,yes
DEMO-0081,2025-Q4,chicago,Master's (in progress),Mathematics / Statistics,software_engineer,AWS;Agile / Scrum;Docker;Git;Java;JavaScript;Problem Solving;Statistics;Tableau;Terraform,yes
DEMO-0082,2025-Q3,chicago,Master's (in progress),Data Science / Analytics,data_scientist,A/B Testing;Agile / Scrum;Communication;Cybersecurity;Git;Kafka;Problem Solving;Spark,yes
DEMO-0083,2025-Q4,washington_dc,Doctorate,Computer Science,data_scientist,A/B Testing;C++;Communication;Machine Learning;NLP;Problem Solving;Python;R;Statistics;Tableau,yes
DEMO-0084,2026-Q1,washington_dc,Bachelor's (in progress),Business / Finance,database_admin,Cybersecurity;Data Visualization;Machine Learning;Networking;NoSQL Databases;Problem Solving;Risk & Compliance;SQL,yes
DEMO-0085,2026-Q1,chicago,Master's (in progress),Computer Science,data_analyst,Business Acumen;CI/CD;Communication;Data Visualization;Deep Learning;JavaScript;Python;R;Statistics;Tableau,yes
DEMO-0086,2025-Q2,chicago,Master's (in progress),Computer Science,cloud_engineer,A/B Testing;Azure;CI/CD;Cybersecurity;Financial Modeling;GCP;Git;System Design;Terraform,yes
DEMO-0087,2025-Q3,chicago,Master's (in progress),Data Science / Analytics,ml_engineer,AWS;Cybersecurity;Deep Learning;Git;Kubernetes;Linux;MLOps;Machine Learning;NoSQL Databases;Python;REST APIs;SQL,yes
DEMO-0088,2025-Q4,new_york,Master's (completed),Data Science / Analytics,data_engineer,AWS;CI/CD;Communication;Data Modeling;Docker;Java;Kafka;Python;Risk & Compliance;SQL;Testing / QA Automation,yes
DEMO-0089,2025-Q1,chicago,Master's (in progress),Engineering,data_analyst,A/B Testing;Business Acumen;Data Modeling;Data Visualization;Excel;Power BI;Problem Solving;Python;SQL;Statistics;Tableau,yes
DEMO-0090,2026-Q1,dallas,Master's (in progress),Computer Science,market_research_analyst,Communication;Data Visualization;Excel;MLOps;Python;R;SQL,yes
DEMO-0091,2025-Q1,chicago,Bachelor's (in progress),Computer Science,data_analyst,A/B Testing;Communication;Data Visualization;Excel;Power BI;Python;SQL;Tableau,yes
DEMO-0092,2025-Q4,chicago,Master's (in progress),Information Systems,data_engineer,AWS;Airflow;Azure;CI/CD;Data Modeling;ETL / Data Pipelines;Git;HTML/CSS;Java;Machine Learning;SQL;Spark;Terraform,yes
DEMO-0093,2026-Q1,dallas,Doctorate,Information Systems,data_analyst,A/B Testing;Airflow;Business Acumen;Communication;Data Modeling;Data Visualization;Excel;NoSQL Databases;Power BI;Problem Solving;R;SQL;Tableau,yes
DEMO-0094,2025-Q2,austin,Bachelor's (completed),Mathematics / Statistics,data_scientist,Communication;Data Visualization;Docker;Git;Power BI;Problem Solving;Python;Statistics,yes
DEMO-0095,2025-Q1,new_york,Master's (in progress),Computer Science,systems_analyst,Data Modeling;Financial Modeling;HTML/CSS;Kubernetes;Problem Solving;SQL;Stakeholder Management,yes
DEMO-0096,2026-Q2,san_francisco,Master's (in progress),Engineering,software_engineer,AWS;CI/CD;Communication;Docker;Financial Modeling;Java;JavaScript;Linux;Problem Solving;Python;REST APIs;Statistics;System Design;Testing / QA Automation,yes
DEMO-0097,2025-Q3,new_york,Bachelor's (completed),Information Systems,data_analyst,A/B Testing;Data Modeling;Docker;Excel;Problem Solving;Python;SQL;Stakeholder Management;Tableau,yes
DEMO-0098,2026-Q1,chicago,Master's (completed),Data Science / Analytics,ml_engineer,AWS;Deep Learning;Docker;GCP;Git;Kafka;Linux;MLOps;Machine Learning;NLP;Python;REST APIs;SQL,yes
DEMO-0099,2025-Q2,chicago,Master's (completed),Business / Finance,data_engineer,AWS;Airflow;CI/CD;Data Modeling;ETL / Data Pipelines;Git;Kafka;SQL,yes
DEMO-0100,2025-Q4,san_francisco,Master's (in progress),Data Science / Analytics,data_analyst,Business Acumen;Communication;Data Modeling;Linux;Power BI;R;React;SQL;Stakeholder Management;Statistics,yes
DEMO-0101,2026-Q1,washington_dc,Master's (in progress),Engineering,devops_engineer,AWS;CI/CD;Cybersecurity;Docker;ETL / Data Pipelines;Git;Kafka;Linux;Problem Solving;REST APIs;Terraform,yes
DEMO-0102,2026-Q1,new_york,Master's (in progress),Data Science / Analytics,data_analyst,A/B Testing;Business Acumen;Communication;Data Modeling;Data Visualization;Problem Solving;R;SQL;Stakeholder Management;Statistics,yes
DEMO-0103,2025-Q1,chicago,Bachelor's (in progress),Computer Science,data_analyst,A/B Testing;Business Acumen;Data Modeling;Excel;GCP;HTML/CSS;Problem Solving;SQL;Statistics;Tableau,yes
DEMO-0104,2025-Q3,seattle,Master's (in progress),Data Science / Analytics,devops_engineer,AWS;Azure;CI/CD;Communication;Git;HTML/CSS;Java;Linux;Networking;Problem Solving;Terraform,yes
DEMO-0105,2025-Q2,austin,Bachelor's (in progress),Business / Finance,software_engineer,AWS;Agile / Scrum;C++;CI/CD;Git;Networking;REST APIs;System Design,yes
DEMO-0106,2026-Q1,boston,Master's (in progress),Data Science / Analytics,data_engineer,AWS;Airflow;C++;Communication;Data Modeling;ETL / Data Pipelines;Kafka;Linux;Python;SQL;Spark,yes
DEMO-0107,2026-Q1,new_york,Bachelor's (completed),Mathematics / Statistics,data_analyst,AWS;Business Acumen;Data Modeling;Data Visualization;Excel;Kafka;Power BI;Problem Solving;Python;Tableau,yes
DEMO-0108,2025-Q1,seattle,Master's (in progress),Computer Science,web_developer,Communication;Git;JavaScript;NoSQL Databases;Problem Solving;React;SQL,yes
DEMO-0109,2026-Q2,boston,Master's (completed),Computer Science,data_scientist,A/B Testing;AWS;Communication;Data Visualization;Deep Learning;Docker;GCP;Git;Machine Learning;Python;R;Statistics,yes
DEMO-0110,2025-Q1,boston,Master's (completed),Information Systems,database_admin,Data Modeling;Linux;Problem Solving;SQL;Tableau;Testing / QA Automation,yes
DEMO-0111,2026-Q1,austin,Master's (in progress),Business / Finance,data_scientist,A/B Testing;AWS;Communication;Data Visualization;Java;Machine Learning;NLP;Problem Solving;Python;R;SQL;Statistics,yes
DEMO-0112,2026-Q2,chicago,Master's (completed),Business / Finance,software_engineer,AWS;Agile / Scrum;C++;CI/CD;Docker;Git;Java;JavaScript;Linux;Problem Solving;Project Management;REST APIs;React;System Design;Testing / QA Automation,yes
DEMO-0113,2025-Q3,san_francisco,Master's (completed),Information Systems,web_developer,CI/CD;Communication;Docker;Excel;Git;HTML/CSS;NoSQL Databases;React;Risk & Compliance;Testing / QA Automation,yes
DEMO-0114,2025-Q4,austin,Bachelor's (in progress),Business / Finance,ml_engineer,AWS;Docker;GCP;Git;MLOps;REST APIs;SQL,yes
DEMO-0115,2025-Q2,san_francisco,Master's (in progress),Engineering,data_engineer,AWS;Airflow;Business Acumen;Data Modeling;ETL / Data Pipelines;Java;Kafka;Linux;NoSQL Databases;Spark,yes
DEMO-0116,2025-Q3,new_york,Doctorate,Data Science / Analytics,data_analyst,A/B Testing;AWS;Business Acumen;CI/CD;Communication;Data Modeling;Data Visualization;Excel;Networking;Power BI;Problem Solving;Python;R;SQL;Statistics,yes
DEMO-0117,2026-Q2,chicago,Bachelor's (in progress),Computer Science,security_analyst,Communication;Linux;NLP;Networking;Python;SQL;Statistics,yes
DEMO-0118,2025-Q1,dallas,Master's (in progress),Computer Science,ml_engineer,Azure;Deep Learning;Docker;MLOps;Machine Learning;NLP;Python;REST APIs;SQL;Spark;Statistics;System Design,yes
DEMO-0119,2025-Q3,seattle,Master's (in progress),Engineering,data_analyst,A/B Testing;Communication;Data Visualization;Power BI;Problem Solving;Python;R;REST APIs;SQL;Statistics,yes
DEMO-0120,2026-Q1,atlanta,Bachelor's (in progress),Data Science / Analytics,web_developer,Communication;HTML/CSS;JavaScript;NoSQL Databases;Problem Solving;Python;REST APIs;React;SQL,yes
DEMO-0121,2025-Q3,dallas,Master's (in progress),Computer Science,software_engineer,AWS;Business Acumen;C++;Java;JavaScript;Linux;MLOps;Problem Solving;Python;REST APIs;SQL;Stakeholder Management;Terraform;Testing / QA Automation,yes
DEMO-0122,2025-Q3,chicago,Bachelor's (in progress),Computer Science,software_engineer,AWS;Agile / Scrum;CI/CD;Data Visualization;Docker;Git;Java;Linux;Python;System Design;Testing / QA Automation,yes
DEMO-0123,2025-Q4,new_york,Bachelor's (completed),Data Science / Analytics,data_scientist,Deep Learning;Machine Learning;NLP;Problem Solving;Python;SQL;Spark,yes
DEMO-0124,2025-Q4,atlanta,Bachelor's (completed),Business / Finance,data_scientist,A/B Testing;Communication;Data Visualization;Deep Learning;ETL / Data Pipelines;Excel;Git;Java;Machine Learning;Python;R;Spark;Statistics,yes
DEMO-0125,2025-Q4,chicago,Doctorate,Other,data_analyst,A/B Testing;Communication;Data Modeling;Data Visualization;Excel;NoSQL Databases;Problem Solving;R;SQL;Spark;Stakeholder Management;Statistics;Tableau,yes
DEMO-0126,2026-Q1,washington_dc,Master's (in progress),Mathematics / Statistics,cloud_engineer,AWS;C++;Docker;GCP;Linux;Networking;Python;System Design,yes
DEMO-0127,2026-Q2,chicago,Bachelor's (completed),Business / Finance,data_analyst,Business Acumen;Data Modeling;Data Visualization;Excel;Git;Power BI;Problem Solving;SQL;Stakeholder Management;Statistics,yes
DEMO-0128,2026-Q1,chicago,Master's (completed),Data Science / Analytics,cloud_engineer,AWS;Azure;CI/CD;Docker;Financial Modeling;GCP;Git;Kubernetes;Linux;NoSQL Databases;Python;Terraform,yes
DEMO-0129,2026-Q1,chicago,Master's (completed),Computer Science,ml_engineer,A/B Testing;AWS;Deep Learning;Git;Kubernetes;Linux;MLOps;Python;REST APIs;Spark,yes
DEMO-0130,2025-Q2,san_francisco,Bachelor's (in progress),Computer Science,software_engineer,AWS;CI/CD;Communication;Java;Linux;MLOps;Problem Solving;System Design;Testing / QA Automation,yes
DEMO-0131,2025-Q2,boston,Bachelor's (completed),Information Systems,data_scientist,A/B Testing;Communication;Data Visualization;Deep Learning;Linux;Machine Learning;Problem Solving;R;SQL;Spark;Statistics,yes
DEMO-0132,2025-Q4,chicago,Bachelor's (completed),Data Science / Analytics,security_analyst,AWS;C++;Cybersecurity;Data Modeling;Linux;Networking;Problem Solving;Risk & Compliance,yes
DEMO-0133,2026-Q1,austin,Master's (completed),Mathematics / Statistics,cloud_engineer,CI/CD;Cybersecurity;Deep Learning;GCP;Linux;Networking;Python;React;System Design,yes
DEMO-0134,2025-Q4,austin,Doctorate,Data Science / Analytics,data_analyst,Business Acumen;CI/CD;Communication;Data Modeling;Data Visualization;Excel;Problem Solving;Python;R;SQL;Statistics;Tableau,yes
DEMO-0135,2026-Q2,chicago,Bachelor's (in progress),Engineering,software_engineer,C++;Communication;Git;Java;Linux;Problem Solving;Python;Terraform,yes
DEMO-0136,2025-Q4,austin,Master's (in progress),Engineering,web_developer,AWS;Agile / Scrum;Business Acumen;Communication;Data Modeling;JavaScript;NoSQL Databases;REST APIs;React;Stakeholder Management;Testing / QA Automation,yes
DEMO-0137,2025-Q3,chicago,Master's (completed),Computer Science,data_analyst,Business Acumen;Data Modeling;Data Visualization;Excel;Networking;Power BI;Problem Solving;Python;SQL;Stakeholder Management;Tableau,yes
DEMO-0138,2025-Q3,chicago,Bachelor's (in progress),Computer Science,financial_analyst,Business Acumen;Excel;Financial Modeling;NLP;Python;SQL;Stakeholder Management,yes
DEMO-0139,2025-Q2,chicago,Master's (in progress),Data Science / Analytics,data_engineer,Airflow;Azure;Business Acumen;CI/CD;Data Modeling;Docker;ETL / Data Pipelines;Git;Java;Kafka;NoSQL Databases;Power BI;Spark;Terraform,yes
DEMO-0140,2026-Q1,austin,Master's (completed),Data Science / Analytics,data_analyst,Airflow;Business Acumen;Communication;Data Modeling;ETL / Data Pipelines;Excel;Power BI;Problem Solving;Python;R;REST APIs;Risk & Compliance;SQL;Statistics;Tableau,yes
DEMO-0141,2025-Q4,chicago,Master's (in progress),Other,database_admin,Data Modeling;Data Visualization;Deep Learning;Docker;Linux;Networking;Problem Solving;SQL,yes
DEMO-0142,2025-Q4,dallas,Master's (in progress),Data Science / Analytics,statistician,A/B Testing;Communication;Excel;Machine Learning;Problem Solving;Python;Risk & Compliance;SQL;Spark;Statistics;Terraform,yes
